date,timestamp,speaker,text
2020-02-26,05:39,Donald Trump,"Thank you very much everybody. Thank you very much. Before I begin, I’d like to extend my deepest condolences to the victims and families in Milwaukee, Wisconsin. Earlier today, a wicked murderer opened fire at a Molson-Coors Brewing Company plant, taking the lives of five people. A number of people were wounded, some badly wounded. Our hearts break for them and their loved ones. We send our condolences, we’ll be with them and it’s a terrible thing. Terrible thing. So our hearts go out to the people of Wisconsin and to the families. Thank you very much. I’ve just received another briefing from a great group of talented people on the virus that is going around to various parts of the world. We have, through some very good early decisions, decisions that were actually ridiculed at the beginning, we closed up our borders to flights coming in from certain areas. Areas that were hit by the coronavirus and hit pretty hard, and we did it very early."
2020-02-26,06:59,Donald Trump,"A lot of people thought we shouldn’t have done it that early and we did, and it turned out to be a very good thing. And the number one priority, from our standpoint, is the health and safety of the American people, and that’s the way I viewed it when I made that decision. Because of all we’ve done, the risk to the American people remains very low. We had the greatest experts, really, in the world right here. The people that are called upon by other countries when things like this happen. We’re ready to adapt and we’re ready to do whatever we have to as the disease spreads, if it spreads. As most of you know, the level that we’ve had in our country is very low, and those people are getting better, or we think that in almost all cases the better they are getting."
2020-02-26,07:51,Donald Trump,"We have a total of 15. We took in some from Japan, you heard about that, because they’re American citizens and they’re in quarantine, and they’re getting better, too. But we felt we had an obligation to do that. It could have been as many as 42, and we found that it was just an obligation we felt that we had. We could have left them and that would have been very bad. Very bad, I think. American people, and they’re recovering. Of the 15 people, the original 15 as I call them, eight of them have returned to their homes to stay in their homes until fully recovered, one is in the hospital, and five have fully recovered, and one is, we think, in pretty good shape and is between hospital and going home. But we have a total of 15 people and they’re in a process of recovering with some already having fully recovered. We started out by looking at certain things that we’ve been working with the Hill very, very carefully, very strongly, and I think we have very good bipartisan spirit for money. We were asking for 2.5 Billion, and we think that’s a lot, but the Democrats and I guess Senator Schumer wants us to have much more than that. And normally in life, I’d say, “We’ll take it, we’ll take it.” If they want to give more, we’ll do more. We’re going to spend whatever’s appropriate. Hopefully, we’re not going to have to spend so much, because we really think we’ve done a great job in keeping it down to a minimum. And again, we’ve had tremendous success, tremendous success beyond what people would have thought. Now at the same time, you do have some outbreaks in some countries, Italy and various countries are having some difficulty."
2020-02-26,09:58,Donald Trump,"China you know about. Where it started. I spoke with President Xi, we had a great talk. He’s working very hard, I have to say. He’s working very, very hard, and if you can count on the reports coming out of China, that spread has gone down quite a bit. The infection seems to have gone down over the last two days, as opposed to getting larger, it’s actually gotten smaller and one instance where we think we can be somewhat reliable. It seems to have gotten quite a bit smaller. With respect to the money that’s being negotiated, they can do whatever they want. I mean, again, we’ll do the two and a half. We’re requesting two and a half. Some Republicans would like us to get four, and some Democrats would like us to get eight and a half and we’ll be satisfied whatever it is."
2020-02-26,10:52,Donald Trump,"We’re bringing in a specialist, a very highly regarded specialist tomorrow, who works actually at the State Department. Very, very tremendously talented in doing this. I want you to understand something that shocked me when I saw it, that I spoke with Dr. Foushee on this, and I was really amazed, and I think most people are amazed to hear it. The flu, in our country, kills from 25,000 people to 69,000 people a year. That was shocking to me. And so far, if you look at what we have, with the 15 people and they’re recovering, one is pretty sick, but hopefully will recover. But the others are in great shape. But think of that 25,000 to 69,000. Over the last 10 years, we’ve lost 360,000, these are people that have died from the flu, from what we call the flu. “Hey, did you get your flu shot?” And that’s something. Now what we’ve done is, we’ve stopped non-US citizens from coming into America from China. That was done very early on."
2020-02-26,12:06,Donald Trump,"We’re screening people, and we have been, at a very high level, screening people coming into the country from infected areas. We have in quarantine, those infected and those at risk. We have a lot of great quarantine facilities. We’re rapidly developing a vaccine and they can speak to you, the professionals can speak to you about that. The vaccine is coming along well, and then speaking to the doctors, we think this is something that we can develop fairly rapidly, a vaccine for the future, and coordinate with the support of our partners. We have great relationships with all of the countries that we’re talking about, some fairly large number of countries. Some it’s one person. And many countries have no problem whatsoever, and we’ll see what happens. But we’re very, very ready for this, for anything. Whether it’s going to be a breakout of larger proportions, or whether or not we’re at that very low level, and we want to keep it that way."
2020-02-26,13:12,Donald Trump,"So we’re at the low level. As they get better, we take them off the list so that we’re going to be pretty soon at only five people, and we could be at just one or two people over the next short period of time. So we’ve had very good luck. Johns Hopkins, I guess, it is a highly respected, great place. They did a study, comprehensive, “The Countries Best and Worst Prepared for an Epidemic” and the United States, we’re rated number one. We’re rated number one for being prepared. This is a list of different countries. I don’t want to get in your way, especially since you do such a good job."
2020-02-26,13:55,Donald Trump,"This is a list of the different countries. United States is rated number one. Most prepared. United Kingdom, Netherlands, Australia, Canada, Thailand, Sweden, Denmark, South Korea, Finland, this is a list of the best rated countries in the world by Johns Hopkins. We’re doing something else that’s important to me, because he’s been terrific in many ways, but he’s also very good on health care and we really followed him very closely. A lot of states do. When Mike was governor, Mike Pence, of Indiana, they’ve established great healthcare, they have a great system there. A system that a lot of the other states have really looked to and changed their systems, they wanted to base it on the Indiana system, it’s very good. He’s really very expert at the field, and what I’ve done is, I’m going to be announcing, exactly right now, that I’m going to be putting our Vice President, Mike Pence, in charge and Mike will be working with the professionals and doctors and everybody else that’s working. The team is brilliant. I spent a lot of time with the team over the last couple of weeks, but they’re totally brilliant and we’re doing really well, and Mike is going to be in charge, and Mike will report back to me. But he’s got a certain talent for this and I’m going to ask Mike Pence to say a few words please. Thank you. Mike?"
2020-02-26,15:27,Mike Pence,"Thank you, Mr. President. President Trump has made clear from the first days of this administration, we have no higher priority than the safety, security, health and wellbeing of the American people. And from the first word of an outbreak of the coronavirus, the president took unprecedented steps to protect the American people from the spread of this disease. He recounted those briefly, but the establishment of travel restrictions, aggressive quarantine effort of Americans that are returning, the declaration of a public health emergency, and establishing the White House Corona Task Force are all reflective of the urgency that the President has brought to a whole of government approach. As a former governor, from the state where the first MERS case emerged in 2014, I know full well the importance of presidential leadership, the importance of administration leadership, and the vital role of partnerships of state and local governments and health authorities in responding to the potential threat of dangerous infectious diseases."
2020-02-26,16:43,Mike Pence,"I look forward, Mr. President, to serving in this role. I’m bringing together all the members of the Corona Task Force that you’ve established. HHS, CDC, DHS, the Departments of Transportation and State. This team has been, at your direction Mr. President, meeting every day since it was established. My role will be to continue to bring that team together, to bring to the President the best options for action to see to the safety and wellbeing and health of the American people. We’ll also be continuing to reach out to governors, state and local officials. In fact, in recent days, the White House met with over 40 state, county, and city health officials from over 30 States and territories to discuss how to respond to the potential threat of the coronavirus. We’ll be working with them in renewed ways to make sure they have the resources to be able to respond. And as the President said, we’ll be adding additional personnel here at the White House, to support our efforts on the President’s behalf."
2020-02-26,17:53,Mike Pence,"We’ll also be working with members of Congress to ensure that the resources are available for this whole of government response, and we’ll be working very closely with Secretary Azar and his team that had done an outstanding job communicating to the public, to ensure the American people have the best information on ways to protect themselves and their families, and also that the public has the most timely information on the potential threat to the American people. Mr. President, as we’ve been briefed, while the threat to the American public remains low of a spread of the coronavirus, you have directed this team to take all steps necessary to continue to ensure the health and wellbeing of the American people, and the people of this country can be confident that under your leadership, we will continue to bring the full resources of the federal government in coordination with our state and local partners, to see to the health and wellbeing and to the effective response to the coronavirus here in the United States of America. With that, the president has asked me to recognize the Secretary of Health and Human Services, Alex Azar, and also the Deputy Director of CDC, Dr. Anne Shocket for remarks. Secretary."
2020-02-26,19:18,Alex Azar,"Well, thank you Mr. Vice President, and thank you, Mr. President for gathering your public health experts here today and for your strong leadership in keeping America safe, and I just want to say I could not be more delighted that you’ve asked the Vice President, my old friend and colleague, to lead this whole of government approach with us under the emergency support function number eight. As of today, we have 15 cases of COVID-19 that have been detected in the United States, with only one new case detected in the last two weeks. We also have three cases among Americans repatriated from Wuhan, and 42 cases among Americans repatriated who had been stuck on the Diamond Princess in Japan. The President’s early and decisive actions, including travel restrictions, have succeeded in buying us incredibly valuable time. This has helped us contain the spread of the virus, handle the cases that we have, and prepare for the possibility that we will need to mitigate broader spread of infections within the United States."
