date,timestamp,speaker,text
2020-04-03,00:00,Donald Trump,"With Kevin McCarthy, future speaker of the house, I hope. And he’s done a fantastic job for the people of California. And also the people of California have done a fantastic job, when you take a look at the bump, and how they’re doing out there. I congratulate everybody out there, but I thought I’d have Kevin say a few words. So Kevin, please."
2020-04-03,00:27,Kevin McCarthy,"Well thank you Mr. President and I would like to thank you. I’m [inaudible 00:00:36]. Governor Newsom says the work that you’re doing together, you’ve been working very closely, has been effective in California. As well, Vice President and the President. You know today, Mr. President, I want to thank you, especially, for the work as Secretary Mnuchin has done especially for small businesses. Just today alone, I saw Bank of America had more than 10,000 loans in two hours. For anybody who’s in small business, my first small business when I was 20 years old, you don’t have income coming in right now. You get a loan. But for your rent, paying your employees, and paying your utilities is a grant. That’s part of the Cares Act. And I think you’re going to find that a lot of small businesses are going to hire people back, keep them afloat through the next two months and get this economy moving again as we get through this virus. So I just want to thank you for all that."
2020-04-03,01:20,Donald Trump,Great job you’re doing. Thank you.
2020-04-03,01:22,Kevin McCarthy,Thank you.
2020-04-03,01:22,Donald Trump,You go ahead. I’ll talk to you later.
2020-04-03,01:24,Kevin McCarthy,All right.
2020-04-03,01:28,Donald Trump,"Okay. Thank you very much everybody. And I want to start by saying that our hearts go out to the people of New York as they bear the brunt of the coronavirus pandemic in America. That seems to be the hotspot right now. But you have some others as you know, that are very bad, very bad. Louisiana is getting hit very hard. Parts of Michigan are getting hit very, very hard. New Jersey is surprisingly, it’s much greater than anybody would have thought. They’re doing a really good job. Governor is doing a really good job out there."
2020-04-03,02:03,Donald Trump,"New York’s first responders, EMTs, doctors, nurses are showing incredible courage under pressure. They’re the best in the world. We will take every action and we’ll spare no resource, financial, medical, scientific, we will not spare anything. We’ll get it back into shape. The Empire State, the governor’s doing an excellent job. They’re all working very hard together. At the request of the Governor, as you know, the Javits Center… We have 2,500 beds and we’re going to allow that to be a system where this horrible disease can be looked after. The patients can be looked after. That was going to be for regular medical problems such as accidents. It’s very interesting, the Governor is telling me, “We don’t have too many accidents, very few people driving.” So we’re going to put that facility into play, which is a big facility. The ship will be staying the way it is, but we’re putting that facility into play to help them."
2020-04-03,03:12,Donald Trump,"And today also the CDC is announcing additional steps Americans can take to defend against the transmission of the virus. From recent studies we know that the transmission from individuals without symptoms is playing a more significant role in the spread of the virus than previously understood. So, you don’t seem to have symptoms and it still gets transferred. In light of these studies, the CDC is advising the use of nonmedical cloth face covering as an additional voluntary public health measure. So it’s voluntary, you don’t have to do. They suggested for a period of time, but this is voluntary."
2020-04-03,03:55,Donald Trump,"I don’t think I’m going to be doing it, but you have a lot of ways you can look at it as follows. The CDC is recommending that Americans wear a basic cloth or fabric mask that can be either purchased online or simply made at home, probably material that you’d have at home. These face coverings can be easily washed or reused. I want to emphasize that the CDC is not recommending the use of medical grade or surgical grade masks, and we want that to be used for our great medical people that are working so hard and doing some job. Medical protective gear must be reserved for the frontline healthcare workers who are performing those vital services. The new mask guidelines also do not replace CDC’s guidance on social distancing, including staying in your home when possible, standing at least six feet apart for a period of time. Again, we’re going to all come back together here. We’re going all come back together. And, practicing hand hygiene, which we should do anyway."
